tag,method,x0,y0,xf,yf,f(xf),iters,grad_norm_fin
principal_axes,Gradiente (Armijo),1.0,0.0,1.0440492263021545e-08,0.0,-3.1148154493098046,10000,1.430564109822047e-07
principal_axes,Gradiente (α=0.1),1.0,0.0,-1.5815164212680844e-11,0.0,-3.1148154493098046,25,2.1670057065925705e-10
principal_axes,"Newton (regularizado, Armijo)",1.0,0.0,3.7372575940517426e-17,0.0,-3.1148154493098046,8,5.120818490662851e-16
principal_axes,Gradiente (Armijo),-1.0,0.0,-1.0440492263021545e-08,0.0,-3.1148154493098046,10000,1.430564109822047e-07
principal_axes,Gradiente (α=0.1),-1.0,0.0,1.5815164212680844e-11,0.0,-3.1148154493098046,25,2.1670057065925705e-10
principal_axes,"Newton (regularizado, Armijo)",-1.0,0.0,-3.7372575940517426e-17,0.0,-3.1148154493098046,8,5.120818490662851e-16
principal_axes,Gradiente (Armijo),0.0,1.0,0.0,1.0440492263021545e-08,-3.1148154493098046,10000,1.430564109822047e-07
principal_axes,Gradiente (α=0.1),0.0,1.0,0.0,-1.5815164212680844e-11,-3.1148154493098046,25,2.1670057065925705e-10
principal_axes,"Newton (regularizado, Armijo)",0.0,1.0,0.0,3.7372575940517426e-17,-3.1148154493098046,8,5.120818490662851e-16
principal_axes,Gradiente (Armijo),0.0,-1.0,0.0,-1.0440492263021545e-08,-3.1148154493098046,10000,1.430564109822047e-07
principal_axes,Gradiente (α=0.1),0.0,-1.0,0.0,1.5815164212680844e-11,-3.1148154493098046,25,2.1670057065925705e-10
principal_axes,"Newton (regularizado, Armijo)",0.0,-1.0,0.0,-3.7372575940517426e-17,-3.1148154493098046,8,5.120818490662851e-16
principal_axes,Gradiente (Armijo),2.0,0.0,-1.0301974756626383e-08,0.0,-3.1148154493098046,10000,1.4115843368152888e-07
principal_axes,Gradiente (α=0.1),2.0,0.0,-1.0575982092919645e-11,0.0,-3.1148154493098046,45,1.4491290283158445e-10
principal_axes,"Newton (regularizado, Armijo)",2.0,0.0,-2.8243254835010577e-20,0.0,-3.1148154493098046,5,3.8699120399358466e-19
principal_axes,Gradiente (Armijo),-2.0,0.0,1.0301974756626383e-08,0.0,-3.1148154493098046,10000,1.4115843368152888e-07
principal_axes,Gradiente (α=0.1),-2.0,0.0,1.0575982092919645e-11,0.0,-3.1148154493098046,45,1.4491290283158445e-10
principal_axes,"Newton (regularizado, Armijo)",-2.0,0.0,2.8243254835010577e-20,0.0,-3.1148154493098046,5,3.8699120399358466e-19
principal_axes,Gradiente (Armijo),0.0,2.0,0.0,-1.0301974756626383e-08,-3.1148154493098046,10000,1.4115843368152888e-07
principal_axes,Gradiente (α=0.1),0.0,2.0,0.0,-1.0575982092919645e-11,-3.1148154493098046,45,1.4491290283158445e-10
principal_axes,"Newton (regularizado, Armijo)",0.0,2.0,0.0,-2.8243254835010577e-20,-3.1148154493098046,5,3.8699120399358466e-19
principal_axes,Gradiente (Armijo),0.0,-2.0,0.0,1.0301974756626383e-08,-3.1148154493098046,10000,1.4115843368152888e-07
principal_axes,Gradiente (α=0.1),0.0,-2.0,0.0,1.0575982092919645e-11,-3.1148154493098046,45,1.4491290283158445e-10
principal_axes,"Newton (regularizado, Armijo)",0.0,-2.0,0.0,2.8243254835010577e-20,-3.1148154493098046,5,3.8699120399358466e-19
principal_axes,Gradiente (Armijo),5.0,0.0,-5.25420636741158e-09,0.0,-3.1148154493098046,10000,7.199353120005246e-08
principal_axes,Gradiente (α=0.1),5.0,0.0,1.2874226879103631e-11,0.0,-3.1148154493098046,478,1.7640362591123498e-10
principal_axes,"Newton (regularizado, Armijo)",5.0,0.0,3.366955965335844e-20,0.0,-3.1148154493098046,8,4.613428411244983e-19
principal_axes,Gradiente (Armijo),-5.0,0.0,5.25420636741158e-09,0.0,-3.1148154493098046,10000,7.199353120005246e-08
principal_axes,Gradiente (α=0.1),-5.0,0.0,-1.2874226879103631e-11,0.0,-3.1148154493098046,478,1.7640362591123498e-10
principal_axes,"Newton (regularizado, Armijo)",-5.0,0.0,-3.366955965335844e-20,0.0,-3.1148154493098046,8,4.613428411244983e-19
principal_axes,Gradiente (Armijo),0.0,5.0,0.0,-5.25420636741158e-09,-3.1148154493098046,10000,7.199353120005246e-08
principal_axes,Gradiente (α=0.1),0.0,5.0,0.0,1.2874226879103631e-11,-3.1148154493098046,478,1.7640362591123498e-10
principal_axes,"Newton (regularizado, Armijo)",0.0,5.0,0.0,3.366955965335844e-20,-3.1148154493098046,8,4.613428411244983e-19
principal_axes,Gradiente (Armijo),0.0,-5.0,0.0,5.25420636741158e-09,-3.1148154493098046,10000,7.199353120005246e-08
principal_axes,Gradiente (α=0.1),0.0,-5.0,0.0,-1.2874226879103631e-11,-3.1148154493098046,478,1.7640362591123498e-10
principal_axes,"Newton (regularizado, Armijo)",0.0,-5.0,0.0,-3.366955965335844e-20,-3.1148154493098046,8,4.613428411244983e-19
principal_axes,Gradiente (Armijo),10.0,0.0,-6.628227576074765e-09,0.0,-3.1148154493098046,10000,9.082047324194998e-08
principal_axes,Gradiente (α=0.1),10.0,0.0,2.266735515575916e-11,0.0,-3.1148154493098046,6526,3.1058980681658186e-10
principal_axes,"Newton (regularizado, Armijo)",10.0,0.0,-2.5283933475540865e-18,0.0,-3.1148154493098046,7,3.464423599387742e-17
principal_axes,Gradiente (Armijo),-10.0,0.0,6.628227576074765e-09,0.0,-3.1148154493098046,10000,9.082047324194998e-08
principal_axes,Gradiente (α=0.1),-10.0,0.0,-2.266735515575916e-11,0.0,-3.1148154493098046,6526,3.1058980681658186e-10
principal_axes,"Newton (regularizado, Armijo)",-10.0,0.0,2.5283933475540865e-18,0.0,-3.1148154493098046,7,3.464423599387742e-17
principal_axes,Gradiente (Armijo),0.0,10.0,0.0,-6.628227576074765e-09,-3.1148154493098046,10000,9.082047324194998e-08
principal_axes,Gradiente (α=0.1),0.0,10.0,0.0,2.266735515575916e-11,-3.1148154493098046,6526,3.1058980681658186e-10
principal_axes,"Newton (regularizado, Armijo)",0.0,10.0,0.0,-2.5283933475540865e-18,-3.1148154493098046,7,3.464423599387742e-17
principal_axes,Gradiente (Armijo),0.0,-10.0,0.0,6.628227576074765e-09,-3.1148154493098046,10000,9.082047324194998e-08
principal_axes,Gradiente (α=0.1),0.0,-10.0,0.0,-2.266735515575916e-11,-3.1148154493098046,6526,3.1058980681658186e-10
principal_axes,"Newton (regularizado, Armijo)",0.0,-10.0,0.0,2.5283933475540865e-18,-3.1148154493098046,7,3.464423599387742e-17
principal_axes,Gradiente (Armijo),20.0,0.0,6.19635302247324,0.0,-0.050779040538456784,10000,0.01598079628644985
principal_axes,Gradiente (α=0.1),20.0,0.0,19.482838706489396,0.0,-0.0052551351259793565,10000,0.0005380479855691118
principal_axes,"Newton (regularizado, Armijo)",20.0,0.0,3.2954875604112623e-21,0.0,-3.1148154493098046,6,4.515501864779877e-20
principal_axes,Gradiente (Armijo),-20.0,0.0,-6.19635302247324,0.0,-0.050779040538456784,10000,0.01598079628644985
principal_axes,Gradiente (α=0.1),-20.0,0.0,-19.482838706489396,0.0,-0.0052551351259793565,10000,0.0005380479855691118
principal_axes,"Newton (regularizado, Armijo)",-20.0,0.0,-3.2954875604112623e-21,0.0,-3.1148154493098046,6,4.515501864779877e-20
principal_axes,Gradiente (Armijo),0.0,20.0,0.0,6.19635302247324,-0.050779040538456784,10000,0.01598079628644985
principal_axes,Gradiente (α=0.1),0.0,20.0,0.0,19.482838706489396,-0.0052551351259793565,10000,0.0005380479855691118
principal_axes,"Newton (regularizado, Armijo)",0.0,20.0,0.0,3.2954875604112623e-21,-3.1148154493098046,6,4.515501864779877e-20
principal_axes,Gradiente (Armijo),0.0,-20.0,0.0,-6.19635302247324,-0.050779040538456784,10000,0.01598079628644985
principal_axes,Gradiente (α=0.1),0.0,-20.0,0.0,-19.482838706489396,-0.0052551351259793565,10000,0.0005380479855691118
principal_axes,"Newton (regularizado, Armijo)",0.0,-20.0,0.0,-3.2954875604112623e-21,-3.1148154493098046,6,4.515501864779877e-20
principal_diagonals,Gradiente (Armijo),1.0,1.0,-5.1509873783131915e-09,-5.1509873783131915e-09,-3.1148154493098046,10000,9.981408567788063e-08
principal_diagonals,Gradiente (α=0.1),1.0,1.0,1.4283856058714887e-11,1.4283856058714887e-11,-3.1148154493098046,44,2.7678771616830673e-10
