x0,y0,iters,xf,yf,f
54.791209711192664,-12.224312049589543,13,1.3234889800848443e-23,-1.2407709188295415e-23,-3.1148154493098046
71.7195839822765,39.47360581187277,26,7.953898397393151e-13,7.953898465155786e-13,-3.1148154493098046
-81.1645304224701,95.12447032735119,73,-1.2260801911505997e-19,1.2258154933545828e-19,-3.1148154493098046
52.22794039807059,57.21286105539076,24,4.632211430296955e-23,4.632211430296955e-23,-3.1148154493098046
-74.37727346489083,-9.922812420886572,13,-1.2176098616780567e-20,-1.2176098616780567e-20,-3.1148154493098046
-25.840395153483755,85.35299776972036,26,-1.7067713887174152e-19,1.7067713887174152e-19,-3.1148154493098046
28.773024016132922,64.552322654166,15,-4.994026873083538e-13,-4.99402683920222e-13,-3.1148154493098046
-11.317160234533773,-54.552255643044624,14,3.514847155596792e-14,3.614330751735336e-14,-3.1148154493098046
10.916957403166961,-87.23654877916493,19,2.0941295166042664e-13,-2.0941295166042664e-13,-3.1148154493098046
65.52623439851641,26.33287982441297,20,-1.1811197975068223e-12,-1.1811197975068223e-12,-3.1148154493098046
51.61754801707477,-29.094806374026334,15,-2.957997870489627e-21,2.957997870489627e-21,-3.1148154493098046
94.13960487898066,78.62422426443953,68,7.942147339909302e-14,7.942147339909302e-14,-3.1148154493098046
55.67669941475236,-61.072258429606485,24,-3.2311742677852644e-27,3.2311742677852644e-27,-3.1148154493098046
-6.655799254593163,-91.23924684255425,22,1.376428539288238e-20,1.376428539288238e-20,-3.1148154493098046
-69.14210158649044,36.60979064849093,25,-1.6543612251060553e-23,1.737079286361358e-23,-3.1148154493098046
48.95243118156344,93.501946486842,39,9.904544462965414e-14,9.904544462965414e-14,-3.1148154493098046
-34.83492837236962,-25.90805879302623,15,5.169878828456423e-26,5.169878828456423e-26,-3.1148154493098046
-6.088837744838415,-62.10572818314286,15,1.0153278059618891e-18,1.0153807455210925e-18,-3.1148154493098046
-74.01569893290568,-4.859014754813245,15,-4.1359030627651384e-25,-4.1359030627651384e-25,-3.1148154493098046
-54.61813018982318,33.96279893650208,19,0.0,0.0,-3.1148154493098046
-12.56961622553385,66.53563921156749,17,-4.285021441136332e-12,4.285021441136332e-12,-3.1148154493098046
40.05302040044981,-37.52667172359179,15,4.069728613760896e-22,-4.069728613760896e-22,-3.1148154493098046
66.45196027904021,60.952871499360384,29,0.0,0.0,-3.1148154493098046
-22.504324193965104,-42.33437921395118,14,3.176638249999643e-19,3.1763735522036263e-19,-3.1148154493098046
36.49910079499509,-72.04950327813805,23,0.0,0.0,-3.1148154493098046
-60.018359504978335,-98.5275460497989,53,-1.6543612251060553e-24,-1.6543612251060553e-24,-3.1148154493098046
57.38487550042768,32.970171318406415,22,-3.213174253849805e-14,-3.213174253849805e-14,-3.1148154493098046
41.033075725267025,56.14580620439358,22,1.260673118360419e-13,1.26067310141976e-13,-3.1148154493098046
-8.216844892332006,13.748239190578744,9,-2.186944364750837e-12,2.186944364750837e-12,-3.1148154493098046
-72.04060037446851,-77.09398529280531,45,7.064357609900661e-14,7.064357440494072e-14,-3.1148154493098046
33.680592358094316,-5.780758771373499,17,1.3780429840857047e-14,-1.3780429840857047e-14,-3.1148154493098046
13.047221296237765,52.99977148320511,18,3.124836848967475e-14,3.124836848967475e-14,-3.1148154493098046
26.94366400011816,10.715880131599164,15,2.452484795919998e-15,2.452484795919998e-15,-3.1148154493098046
11.841432149082706,-39.20998038747756,200,-239.22978026606708,239.22978026606708,-1.557412092906343
-93.83643308641211,-12.656522153527533,25,-3.3875896879309586e-16,-3.3875896879309586e-16,-3.1148154493098046
-57.08306543609416,-18.294271255072772,16,0.0,0.0,-3.1148154493098046
70.68061465363323,-53.212102826931854,30,0.0,0.0,-3.1148154493098046
-88.3394516621868,-43.72322159560069,33,0.0,0.0,-3.1148154493098046
-41.28124844666328,32.383302945379,14,-2.3967783188911032e-14,2.3967781494845138e-14,-3.1148154493098046
11.406430468255664,56.779641821282695,13,-6.926539928371524e-16,-6.926539928371524e-16,-3.1148154493098046
32.862708065477506,-18.722627711985893,19,-1.1448179677733903e-21,1.1448179677733903e-21,-3.1148154493098046
62.80407693320694,-66.60541601845921,29,-1.2541381575283984e-19,1.2541381575283984e-19,-3.1148154493098046
-95.4575853732279,-81.99042784487165,81,4.1359030627651384e-25,4.1359030627651384e-25,-3.1148154493098046
44.47187011929006,-7.624553949722525,17,0.0,0.0,-3.1148154493098046
-67.74564419327965,0.208955020672704,26,-9.529120656610879e-22,-9.562207881113e-22,-3.1148154493098046
-69.53757945736632,39.264075015547206,23,0.0,0.0,-3.1148154493098046
-10.768744885193854,-23.795754780703504,200,-746.5629637718522,-746.5629637718522,-1.5574081732008438
-39.697582170424695,26.05651862377769,19,1.075334796318936e-23,-1.1580528575742387e-23,-3.1148154493098046
-27.637477889321914,-82.4700161367798,23,-1.6155871338926322e-27,0.0,-3.1148154493098046
